comparison,measure,n,r,mae,rmse,bias,max_abs,nan_mismatch
Rouault1 difficulty,ΔConf-Ratio,932,1.0,6.475659451917791e-15,1.2106104498713932e-13,-4.083103520289127e-15,3.666400516522117e-12,0
Rouault1 difficulty,M-Diff,932,0.999999900411281,4.8426852469546735e-05,0.00027707700829857854,1.065005574005045e-05,0.008002715183007686,0
Rouault1 difficulty,AUC2-Diff,932,1.0,1.1930132609035345e-16,1.6608614304518895e-16,-3.2758726584969747e-18,6.661338147750939e-16,0
Rouault1 difficulty,Gamma-Diff,932,1.0,2.160289114976096e-16,3.0662022882220646e-16,4.467099079768602e-19,1.887379141862766e-15,0
Rouault1 difficulty,Phi-Diff,932,1.0,1.6430734931902212e-16,2.2261540401718196e-16,-3.674188993109675e-17,1.5543122344752192e-15,0
Rouault1 difficulty,ΔConf-Diff,932,1.0,8.960405140805179e-16,1.2454791725891101e-15,2.465838692032268e-16,6.661338147750939e-15,0
Rouault1 difficulty,meta-noise,903,0.9999169408085998,0.00025414193660196823,0.006489058600309772,0.0001979923338774946,0.19349550499537335,27
Rouault1 difficulty,meta-uncertainty,932,0.9931151519025695,0.008144465238095916,0.08506028212051392,-0.005518250387790112,1.3947549393906244,0
Rouault1 difficulty,d',932,0.9999999999999998,1.4966270950251407e-16,2.692035537877374e-16,-1.0725504890524414e-16,1.3322676295501878e-15,0
Rouault1 difficulty,Criterion,932,1.0,6.452724620725746e-17,1.03020519884636e-16,1.1070960552693185e-17,4.440892098500626e-16,0
Rouault1 difficulty,Confidence,932,1.0,0.0,0.0,0.0,0.0,0
Rouault2 difficulty,meta-d',968,0.9999760057358426,0.00017880452147712596,0.004391679385039478,0.00015017162506943685,0.1365042836552317,0
Rouault2 difficulty,AUC2,968,1.0,0.0,0.0,0.0,0.0,0
Rouault2 difficulty,Gamma,968,1.0,0.0,0.0,0.0,0.0,0
Rouault2 difficulty,Phi,968,0.9999999999999998,1.4009708987962313e-17,3.144784781827577e-17,-5.866987721937764e-19,2.220446049250313e-16,0
Rouault2 difficulty,ΔConf,968,1.0,0.0,0.0,0.0,0.0,0
Rouault2 difficulty,M-Ratio,968,0.999984646731109,0.00010571917630354897,0.0024763746685808764,8.487609175503452e-05,0.07698651105910703,0
Rouault2 difficulty,AUC2-Ratio,968,0.9999999999999996,1.8041124150158794e-16,2.494558658621352e-16,8.601934591620532e-18,8.881784197001252e-16,0
Rouault2 difficulty,Gamma-Ratio,968,1.0,4.820040286323367e-16,7.514235240031581e-16,5.4161722742197357e-17,4.440892098500626e-15,0
Rouault2 difficulty,Phi-Ratio,968,0.9999999999999998,7.408040104958636e-16,1.1533931658147225e-15,4.7602774872470415e-17,7.993605777301127e-15,0
Rouault2 difficulty,ΔConf-Ratio,968,0.9999999999999999,1.2801847076676321e-15,2.1024539120995854e-15,1.930041153297791e-16,1.1102230246251565e-14,0
Rouault2 difficulty,M-Diff,968,0.9999755784961714,0.00017880452147712064,0.004391679385039506,0.00015017162506944246,0.1365042836552326,0
Rouault2 difficulty,AUC2-Diff,968,1.0,1.2845555656819992e-16,1.7349872485837035e-16,4.128928603977855e-18,6.661338147750939e-16,0
Rouault2 difficulty,Gamma-Diff,968,1.0,2.481658129682523e-16,3.235635835645386e-16,1.052303331708245e-17,1.4432899320127035e-15,0
Rouault2 difficulty,Phi-Diff,968,0.9999999999999998,2.1116315766663135e-16,2.7411407353634184e-16,1.7920697065876104e-18,1.1657341758564144e-15,0
Rouault2 difficulty,ΔConf-Diff,968,0.9999999999999999,9.423132613967237e-16,1.2697860906027418e-15,1.3350202486195065e-16,5.551115123125783e-15,0
Rouault2 difficulty,meta-noise,947,0.9997677730751362,0.0004803748977035511,0.007393441719775766,-5.4554150605015356e-05,0.16311896062463196,20
Rouault2 difficulty,meta-uncertainty,968,0.9792559189447614,0.013782404107270973,0.17131416970357866,-0.01376516425432253,4.017290563415772,0
Rouault2 difficulty,d',968,1.0,1.5804621156337457e-16,2.4259817067787204e-16,-1.0001182618524137e-16,8.881784197001252e-16,0
Rouault2 difficulty,Criterion,968,1.0,6.927424657785068e-17,1.0291269608988877e-16,7.913779824290888e-18,3.885780586188048e-16,0
Rouault2 difficulty,Confidence,968,1.0,0.0,0.0,0.0,0.0,0
Shekhar difficulty,meta-d',60,0.9999791173396011,0.002248326008138754,0.004064813576524353,0.00032053664383965006,0.018343841874179923,0
Shekhar difficulty,AUC2,60,0.9999714428820872,0.0002957631535201214,0.0006137556835756736,4.485783749830774e-05,0.002879921900423077,0
Shekhar difficulty,Gamma,60,0.9999685109262411,0.000700422878210671,0.0014489538867127124,0.00016967004474300004,0.006414690356711383,0
Shekhar difficulty,Phi,60,0.9999586292406357,0.0004574478808667964,0.0007349618518928728,-9.150328760737977e-06,0.0026726770479396644,0
Shekhar difficulty,ΔConf,60,0.9999860792960491,0.0018852460752387704,0.0030433947734400456,-0.00021966495767582843,0.01314676212170518,0
Shekhar difficulty,M-Ratio,60,0.9999460776670634,0.0015323540765869456,0.002590442171063871,0.00020332702950051905,0.008175169492593226,0
Shekhar difficulty,AUC2-Ratio,60,0.9999311916883015,0.00040300860650233084,0.0007960297881714651,5.8348563678659966e-05,0.003256185034923975,0
Shekhar difficulty,Gamma-Ratio,60,0.9999329055958368,0.0013224718972243894,0.0025784565956375864,0.00016278145955077317,0.00973976724395742,0
